scenario_type,cars_N,cars_S,cars_E,cars_W,wait_N,wait_S,wait_E,wait_W,phase_flag,rush_flag,ped_flag,best_green_time
medium,0,1,2,0,0.0,0.0,21.0,0.0,1,0,0,10
medium,1,1,2,0,2.0,5.0,1.0,0.0,0,0,0,10
medium,0,1,1,0,0.0,0.0,4.0,0.0,1,0,0,10
medium,0,1,1,0,0.0,2.0,2.0,0.0,0,0,0,10
medium,0,0,2,0,0.0,0.0,13.0,0.0,1,0,0,10
medium,0,1,1,0,0.0,5.0,2.0,0.0,0,0,0,10
medium,0,1,2,1,0.0,0.0,13.0,2.0,1,0,0,10
medium,1,1,0,0,1.0,1.0,0.0,0.0,0,0,0,10
medium,0,0,3,0,0.0,0.0,30.0,0.0,1,0,0,10
medium,1,1,1,0,1.0,4.0,1.0,0.0,0,0,0,10
medium,0,0,3,0,0.0,0.0,25.0,0.0,1,0,0,10
medium,1,0,1,0,1.0,0.0,0.0,0.0,0,0,0,10
medium,0,1,1,0,0.0,0.0,5.0,0.0,1,0,0,10
medium,1,1,1,1,1.0,5.0,1.0,0.0,0,0,0,10
medium,0,1,3,0,0.0,2.0,30.0,0.0,1,0,0,10
medium,0,1,2,0,0.0,2.0,1.0,0.0,0,0,0,10
medium,0,1,6,0,0.0,0.0,67.0,0.0,1,0,0,10
medium,0,1,1,0,0.0,4.0,3.0,0.0,0,0,0,10
medium,0,0,4,0,0.0,0.0,47.0,0.0,1,0,0,10
medium,0,1,2,0,0.0,3.0,1.0,0.0,0,0,0,10
